23 January 2012 08:50:30 AM

CORDIC_PRB:
  C++ version,
  Test the CORDIC library.

TEST001:
  COSSIN_CORDIC computes the cosine and sine
  using the CORDIC algorithm.

          A        N      Cos(A)           Cos(A)           Difference
                          Tabulated        CORDIC


           0     0                   1                 1             0
           0     5                   1        0.99988995       0.00011
           0    10                   1        0.99999931     6.875e-07
           0    15                   1                 1      8.35e-11
           0    20                   1                 1     9.204e-14
           0    25                   1                 1     4.441e-16

      0.2618     0          0.96592583                 1      -0.03407
      0.2618     5          0.96592583        0.96547238     0.0004535
      0.2618    10          0.96592583        0.96597708    -5.125e-05
      0.2618    15          0.96592583        0.96592971    -3.882e-06
      0.2618    20          0.96592583        0.96592625    -4.261e-07
      0.2618    25          0.96592583        0.96592584    -9.607e-09

         0.5     0          0.87758256                 1       -0.1224
         0.5     5          0.87758256        0.87527459      0.002308
         0.5    10          0.87758256        0.87808912    -0.0005066
         0.5    15          0.87758256        0.87759216    -9.601e-06
         0.5    20          0.87758256         0.8775821     4.578e-07
         0.5    25          0.87758256        0.87758259    -2.795e-08

      0.5236     0           0.8660254                 1        -0.134
      0.5236     5           0.8660254        0.87527459     -0.009249
      0.5236    10           0.8660254        0.86664307    -0.0006177
      0.5236    15           0.8660254        0.86600286     2.255e-05
      0.5236    20           0.8660254        0.86602479     6.098e-07
      0.5236    25           0.8660254        0.86602542    -1.609e-08

      0.7854     0          0.70710678                 1       -0.2929
      0.7854     5          0.70710678        0.68419769       0.02291
      0.7854    10          0.70710678        0.70802311    -0.0009163
      0.7854    15          0.70710678        0.70711738     -1.06e-05
      0.7854    20          0.70710678        0.70710794    -1.158e-06
      0.7854    25          0.70710678         0.7071068    -2.002e-08

           1     0          0.54030231                 1       -0.4597
           1     5          0.54030231        0.58806584      -0.04776
           1    10          0.54030231        0.54134537     -0.001043
           1    15          0.54030231        0.54026724     3.507e-05
           1    20          0.54030231        0.54030094     1.362e-06
           1    25          0.54030231         0.5403023     8.193e-09

       1.047     0                 0.5                 1          -0.5
       1.047     5                 0.5         0.4836263       0.01637
       1.047    10                 0.5        0.49892865      0.001071
       1.047    15                 0.5        0.50003905    -3.905e-05
       1.047    20                 0.5        0.50000106    -1.056e-06
       1.047    25                 0.5        0.49999997     2.787e-08

       1.571     0                   0                 1            -1
       1.571     5                   0       0.014835163      -0.01484
       1.571    10                   0      0.0011725901     -0.001173
       1.571    15                   0     1.2922696e-05    -1.292e-05
       1.571    20                   0    -4.2874447e-07     4.287e-07
       1.571    25                   0    -1.1511956e-08     1.151e-08

           2     0         -0.41614684                -1        0.5839
           2     5         -0.41614684       -0.37087906      -0.04527
           2    10         -0.41614684       -0.41575425    -0.0003926
           2    15         -0.41614684       -0.41614278    -4.059e-06
           2    20         -0.41614684       -0.41614798     1.144e-06
           2    25         -0.41614684       -0.41614684     5.831e-09

           3     0          -0.9899925                -1       0.01001
           3     5          -0.9899925       -0.99039545      0.000403
           3    10          -0.9899925       -0.99012474     0.0001322
           3    15          -0.9899925       -0.98999597     3.477e-06
           3    20          -0.9899925       -0.98999247      -2.2e-08
           3    25          -0.9899925        -0.9899925     3.229e-09

       3.142     0                  -1                -1             0
       3.142     5                  -1       -0.99988995      -0.00011
       3.142    10                  -1       -0.99999931    -6.875e-07
       3.142    15                  -1                -1     -8.35e-11
       3.142    20                  -1                -1    -9.204e-14
       3.142    25                  -1                -1    -4.441e-16

           4     0         -0.65364362                -1        0.3464
           4     5         -0.65364362       -0.68419769       0.03055
           4    10         -0.65364362       -0.65372665     8.303e-05
           4    15         -0.65364362       -0.65368046     3.684e-05
           4    20         -0.65364362       -0.65364437     7.526e-07
           4    25         -0.65364362       -0.65364361    -1.424e-08

           5     0          0.28366219                 1       -0.7163
           5     5          0.28366219        0.26050545       0.02316
           5    10          0.28366219         0.2849241     -0.001262
           5    15          0.28366219        0.28369526    -3.307e-05
           5    20          0.28366219        0.28366051     1.676e-06
           5    25          0.28366219        0.28366217     1.855e-08

TEST002:
  COSSIN_CORDIC computes the cosine and sine
  using the CORDIC algorithm.

          A        N      Sin(A)           Sin(A)           Difference
                          Tabulated        CORDIC


           0     0                   0                 0             0
           0     5                   0       0.014835163      -0.01484
           0    10                   0      0.0011725901     -0.001173
           0    15                   0     1.2922696e-05    -1.292e-05
           0    20                   0    -4.2874447e-07     4.287e-07
           0    25                   0    -1.1511956e-08     1.151e-08

      0.2618     0          0.25881905                 0        0.2588
      0.2618     5          0.25881905        0.26050545     -0.001686
      0.2618    10          0.25881905        0.25862769     0.0001914
      0.2618    15          0.25881905        0.25880456     1.449e-05
      0.2618    20          0.25881905        0.25881745      1.59e-06
      0.2618    25          0.25881905        0.25881901     3.585e-08

         0.5     0          0.47942554                 0        0.4794
         0.5     5          0.47942554         0.4836263     -0.004201
         0.5    10          0.47942554        0.47849712     0.0009284
         0.5    15          0.47942554        0.47940796     1.757e-05
         0.5    20          0.47942554        0.47942638    -8.381e-07
         0.5    25          0.47942554        0.47942549     5.116e-08

      0.5236     0                 0.5                 0           0.5
      0.5236     5                 0.5         0.4836263       0.01637
      0.5236    10                 0.5        0.49892865      0.001071
      0.5236    15                 0.5        0.50003905    -3.905e-05
      0.5236    20                 0.5        0.50000106    -1.056e-06
      0.5236    25                 0.5        0.49999997     2.787e-08

      0.7854     0          0.70710678                 0        0.7071
      0.7854     5          0.70710678        0.72929659      -0.02219
      0.7854    10          0.70710678        0.70618926     0.0009175
      0.7854    15          0.70710678        0.70709618      1.06e-05
      0.7854    20          0.70710678        0.70710562     1.158e-06
      0.7854    25          0.70710678        0.70710676     2.002e-08

