24 July 2012 06:46:07 PM

CRC_PRB
  C++ version  Test the CRC library.

TEST01
  MAKE_CRC_TABLE sets up the 256 entry CRC table.

  Each entry is an unsigned long integer.  We'll print
  signed versions of the entries.

CRC_TABLE
  N  dec(CRC(N))  hex(CRC(N))

    0             0         0
    1    1996959894  77073096
    2    3993919788  ee0e612c
    3    2567524794  990951ba
    4     124634137   76dc419
    5    1886057615  706af48f
    6    3915621685  e963a535
    7    2657392035  9e6495a3
    8     249268274   edb8832
    9    2044508324  79dcb8a4
   10    3772115230  e0d5e91e
   11    2547177864  97d2d988
   12     162941995   9b64c2b
   13    2125561021  7eb17cbd
   14    3887607047  e7b82d07
   15    2428444049  90bf1d91
   16     498536548  1db71064
   17    1789927666  6ab020f2
   18    4089016648  f3b97148
   19    2227061214  84be41de
   20     450548861  1adad47d
   21    1843258603  6ddde4eb
   22    4107580753  f4d4b551
   23    2211677639  83d385c7
   24     325883990  136c9856
   25    1684777152  646ba8c0
   26    4251122042  fd62f97a
   27    2321926636  8a65c9ec
   28     335633487  14015c4f
   29    1661365465  63066cd9
   30    4195302755  fa0f3d63
   31    2366115317  8d080df5
   32     997073096  3b6e20c8
   33    1281953886  4c69105e
   34    3579855332  d56041e4
   35    2724688242  a2677172
   36    1006888145  3c03e4d1
   37    1258607687  4b04d447
   38    3524101629  d20d85fd
   39    2768942443  a50ab56b
   40     901097722  35b5a8fa
   41    1119000684  42b2986c
   42    3686517206  dbbbc9d6
   43    2898065728  acbcf940
   44     853044451  32d86ce3
   45    1172266101  45df5c75
   46    3705015759  dcd60dcf
   47    2882616665  abd13d59
   48     651767980  26d930ac
   49    1373503546  51de003a
   50    3369554304  c8d75180
   51    3218104598  bfd06116
   52     565507253  21b4f4b5
   53    1454621731  56b3c423
   54    3485111705  cfba9599
   55    3099436303  b8bda50f
   56     671266974  2802b89e
   57    1594198024  5f058808
   58    3322730930  c60cd9b2
   59    2970347812  b10be924
   60     795835527  2f6f7c87
   61    1483230225  58684c11
   62    3244367275  c1611dab
   63    3060149565  b6662d3d
   64    1994146192  76dc4190
   65      31158534   1db7106
   66    2563907772  98d220bc
   67    4023717930  efd5102a
   68    1907459465  71b18589
   69     112637215   6b6b51f
   70    2680153253  9fbfe4a5
   71    3904427059  e8b8d433
