
FEM2D_LINEAR
  C++ version

  Solution of the Poisson equation:

  - Uxx - Uyy = F(x,y) inside the region,
       U(x,y) = G(x,y) on the boundary of the region.

  The region is a rectangle, defined by:

  0 = XL<= X <= XR = 1
  0 = YB<= Y <= YT = 1

  The finite element method is used, with piecewise
  linear basis functions on 3 node triangular
  elements.

  The corner nodes of the triangles are generated by an
  underlying grid whose dimensions are

  NX =                       17
  NY =                       17
  Number of nodes =          289
  Number of elements =       512

     K     I     J          X           Y        U               U                Error
                                                 exact           computed

     0     1     1           0           0               0               0               0
     1     2     1      0.0625           0          0.0625          0.0625               0
     2     3     1       0.125           0           0.125           0.125               0
     3     4     1      0.1875           0          0.1875          0.1875               0
     4     5     1        0.25           0            0.25            0.25               0
     5     6     1      0.3125           0          0.3125          0.3125               0
     6     7     1       0.375           0           0.375           0.375               0
     7     8     1      0.4375           0          0.4375          0.4375               0
     8     9     1         0.5           0             0.5             0.5               0
     9    10     1      0.5625           0          0.5625          0.5625               0
    10    11     1       0.625           0           0.625           0.625               0
    11    12     1      0.6875           0          0.6875          0.6875               0
    12    13     1        0.75           0            0.75            0.75               0
    13    14     1      0.8125           0          0.8125          0.8125               0
    14    15     1       0.875           0           0.875           0.875               0
    15    16     1      0.9375           0          0.9375          0.9375               0
    16    17     1           1           0               1               1               0

    17     1     2           0      0.0625               0               0               0
    18     2     2      0.0625      0.0625         0.10056        0.100225     0.000335531
    19     3     2       0.125      0.0625        0.199658         0.19911     0.000547596
    20     4     2      0.1875      0.0625        0.295886        0.295206     0.000680795
    21     5     2        0.25      0.0625         0.38795        0.387195     0.000754779
    22     6     2      0.3125      0.0625        0.474712        0.473932      0.00077996
    23     7     2       0.375      0.0625         0.55524        0.554477     0.000763232
    24     8     2      0.4375      0.0625        0.628842        0.628131     0.000710359
    25     9     2         0.5      0.0625         0.69509        0.694463     0.000627081
    26    10     2      0.5625      0.0625        0.753842        0.753322     0.000519706
    27    11     2       0.625      0.0625         0.80524        0.804844     0.000395463
    28    12     2      0.6875      0.0625        0.849712        0.849449     0.000262838
    29    13     2        0.75      0.0625         0.88795        0.887818     0.000132048
    30    14     2      0.8125      0.0625        0.920886         0.92087     1.59809e-05
    31    15     2       0.875      0.0625        0.949658        0.949725     6.76484e-05
    32    16     2      0.9375      0.0625         0.97556        0.975651     9.08563e-05
    33    17     2           1      0.0625               1               1               0

    34     1     3           0       0.125               0               0               0
    35     2     3      0.0625       0.125        0.137158         0.13661     0.000547596
    36     3     3       0.125       0.125        0.271447        0.270515     0.000931863
    37     4     3      0.1875       0.125        0.400108        0.398915      0.00119266
    38     5     3        0.25       0.125        0.520598        0.519245      0.00135303
    39     6     3      0.3125       0.125         0.63069        0.629262       0.0014272
    40     7     3       0.375       0.125        0.728553        0.727128       0.0014254
    41     8     3      0.4375       0.125         0.81283        0.811474       0.0013566
    42     9     3         0.5       0.125        0.882683        0.881453      0.00123006
    43    10     3      0.5625       0.125         0.93783        0.936774      0.00105626
    44    11     3       0.625       0.125        0.978553        0.977706      0.00084746
    45    12     3      0.6875       0.125         1.00569         1.00507     0.000618319
    46    13     3        0.75       0.125          1.0206         1.02021     0.000386542
    47    14     3      0.8125       0.125         1.02511         1.02493     0.000174117
    48    15     3       0.875       0.125         1.02145         1.02144     9.58713e-06
    49    16     3      0.9375       0.125         1.01216         1.01223     6.76484e-05
    50    17     3           1       0.125               1               1               0

    51     1     4           0      0.1875               0               0               0
    52     2     4      0.0625      0.1875        0.170886        0.170206     0.000680795
    53     3     4       0.125      0.1875        0.337608        0.336415      0.00119266
    54     4     4      0.1875      0.1875        0.496158        0.494596      0.00156273
    55     5     4        0.25      0.1875        0.642847        0.641038      0.00180932
    56     6     4      0.3125      0.1875         0.77444        0.772495      0.00194507
    57     7     4       0.375      0.1875         0.88828          0.8863      0.00197993
    58     8     4      0.4375      0.1875        0.982395        0.980472      0.00192335
    59     9     4         0.5      0.1875         1.05557         1.05378      0.00178578
    60    10     4      0.5625      0.1875          1.1074         1.10582      0.00157957
    61    11     4       0.625      0.1875         1.13828         1.13696      0.00131976
    62    12     4      0.6875      0.1875         1.14944         1.14842      0.00102457
    63    13     4        0.75      0.1875         1.14285         1.14213     0.000716148
    64    14     4      0.8125      0.1875         1.12116         1.12074     0.000421518
    65    15     4       0.875      0.1875         1.08761         1.08743     0.000174117
    66    16     4      0.9375      0.1875         1.04589         1.04587     1.59809e-05
    67    17     4           1      0.1875               1               1               0

    68     1     5           0        0.25               0               0               0
    69     2     5      0.0625        0.25         0.20045        0.199695     0.000754779
    70     3     5       0.125        0.25        0.395598        0.394245      0.00135303
    71     4     5      0.1875        0.25        0.580347        0.578538      0.00180932
    72     5     5        0.25        0.25            0.75        0.747866      0.00213422
    73     6     5      0.3125        0.25        0.900438        0.898102      0.00233563
    74     7     5       0.375        0.25         1.02828         1.02586       0.0024205
    75     8     5      0.4375        0.25         1.13102         1.12862      0.00239644
    76     9     5         0.5        0.25         1.20711         1.20483      0.00227286
    77    10     5      0.5625        0.25         1.25602         1.25396      0.00206194
    78    11     5       0.625        0.25         1.27828          1.2765       0.0017792
    79    12     5      0.6875        0.25         1.27544         1.27399        0.001444
    80    13     5        0.75        0.25            1.25         1.24892      0.00108009
    81    14     5      0.8125        0.25         1.20535         1.20463     0.000716148
    82    15     5       0.875        0.25          1.1456         1.14521     0.000386542
    83    16     5      0.9375        0.25         1.07545         1.07532     0.000132048
    84    17     5           1        0.25               1               1               0

    85     1     6           0      0.3125               0               0               0
    86     2     6      0.0625      0.3125        0.224712        0.223932      0.00077996
    87     3     6       0.125      0.3125         0.44319        0.441762       0.0014272
    88     4     6      0.1875      0.3125         0.64944        0.647495      0.00194507
    89     5     6        0.25      0.3125        0.837938        0.835602      0.00233563
    90     6     6      0.3125      0.3125         1.00384         1.00124      0.00260048
    91     7     6       0.375      0.3125         1.14318         1.14044      0.00274181
    92     8     6      0.4375      0.3125         1.25299         1.25023      0.00276363
    93     9     6         0.5      0.3125         1.33147          1.3288       0.0026726
    94    10     6      0.5625      0.3125         1.37799         1.37551      0.00247887
    95    11     6       0.625      0.3125         1.39318         1.39098      0.00219651
    96    12     6      0.6875      0.3125         1.37884           1.377       0.0018439
    97    13     6        0.75      0.3125         1.33794         1.33649        0.001444
    98    14     6      0.8125      0.3125         1.27444         1.27342      0.00102457
    99    15     6       0.875      0.3125         1.19319         1.19257     0.000618319
   100    16     6      0.9375      0.3125         1.09971         1.09945     0.000262838
   101    17     6           1      0.3125               1               1               0

   102     1     7           0       0.375               0               0               0
   103     2     7      0.0625       0.375         0.24274        0.241977     0.000763232
   104     3     7       0.125       0.375        0.478553        0.477128       0.0014254
   105     4     7      0.1875       0.375         0.70078          0.6988      0.00197993
   106     5     7        0.25       0.375        0.903281        0.900861       0.0024205
   107     6     7      0.3125       0.375         1.08068         1.07794      0.00274181
   108     7     7       0.375       0.375         1.22855         1.22561      0.00294037
   109     8     7      0.4375       0.375         1.34363         1.34061      0.00301542
   110     9     7         0.5       0.375         1.42388         1.42091      0.00296964
   111    10     7      0.5625       0.375         1.46863         1.46582      0.00280974
   112    11     7       0.625       0.375         1.47855         1.47601       0.0025468
   113    12     7      0.6875       0.375         1.45568         1.45348      0.00219651
   114    13     7        0.75       0.375         1.40328          1.4015       0.0017792
   115    14     7      0.8125       0.375         1.32578         1.32446      0.00131976
   116    15     7       0.875       0.375         1.22855         1.22771      0.00084746
   117    16     7      0.9375       0.375         1.11774         1.11734     0.000395463
   118    17     7           1       0.375               1               1               0

   119     1     8           0      0.4375               0               0               0
   120     2     8      0.0625      0.4375        0.253842        0.253131     0.000710359
   121     3     8       0.125      0.4375         0.50033        0.498974       0.0013566
   122     4     8      0.1875      0.4375        0.732395        0.730472      0.00192335
   123     5     8        0.25      0.4375         0.94352        0.941123      0.00239644
   124     6     8      0.3125      0.4375         1.12799         1.12523      0.00276363
   125     7     8       0.375      0.4375         1.28113         1.27811      0.00301542
   126     8     8      0.4375      0.4375         1.39944         1.39629      0.00314575
   127     9     8         0.5      0.4375         1.48079         1.47763      0.00315255
   128    10     8      0.5625      0.4375         1.52444          1.5214      0.00303821
   129    11     8       0.625      0.4375         1.53113         1.52832      0.00280974
   130    12     8      0.6875      0.4375         1.50299         1.50051      0.00247887
