25 December 2009 05:48:57 PM

NINT_EXACTNESS
  C++ version

  Compiled on Dec 25 2009 at 17:47:46.

  Investigate the polynomial exactness of a quadrature
  rule by integrating all monomials of a given degree
  over the [0,1] hypercube.

  The rule will be adjusted to the [0,1] hypercube.

NINT_EXACTNESS: User input:
  Quadrature rule X file = "ccs_d2_level4_x.txt".
  Quadrature rule W file = "ccs_d2_level4_w.txt".
  Quadrature rule R file = "ccs_d2_level4_r.txt".
  Maximum total degree to check = 17

  Spatial dimension = 2
  Number of points  = 49

      Error    Degree  Exponents

             0      0    0  0

   2.22045e-16      1    1  0
   2.22045e-16      1    0  1

   4.44089e-16      2    2  0
   4.44089e-16      2    1  1
   4.44089e-16      2    0  2

   4.44089e-16      3    3  0
   2.22045e-16      3    2  1
   2.22045e-16      3    1  2
   4.44089e-16      3    0  3

   4.44089e-16      4    4  0
   2.22045e-16      4    3  1
   2.22045e-16      4    2  2
   2.22045e-16      4    1  3
   4.44089e-16      4    0  4

   6.66134e-16      5    5  0
   2.22045e-16      5    4  1
   4.44089e-16      5    3  2
   4.44089e-16      5    2  3
   2.22045e-16      5    1  4
   4.44089e-16      5    0  5

   8.88178e-16      6    6  0
   4.44089e-16      6    5  1
   2.22045e-16      6    4  2
   4.44089e-16      6    3  3
   6.66134e-16      6    2  4
   4.44089e-16      6    1  5
   6.66134e-16      6    0  6

   4.44089e-16      7    7  0
   4.44089e-16      7    6  1
   6.66134e-16      7    5  2
   4.44089e-16      7    4  3
   4.44089e-16      7    3  4
   4.44089e-16      7    2  5
   8.88178e-16      7    1  6
   8.88178e-16      7    0  7

   4.44089e-16      8    8  0
   4.44089e-16      8    7  1
   6.66134e-16      8    6  2
   8.88178e-16      8    5  3
   6.66134e-16      8    4  4
   4.44089e-16      8    3  5
   6.66134e-16      8    2  6
   2.22045e-16      8    1  7
   4.44089e-16      8    0  8

   4.44089e-16      9    9  0
   6.66134e-16      9    8  1
   6.66134e-16      9    7  2
   8.88178e-16      9    6  3
   4.44089e-16      9    5  4
   2.22045e-16      9    4  5
   8.88178e-16      9    3  6
   4.44089e-16      9    2  7
   8.88178e-16      9    1  8
   2.22045e-16      9    0  9

   3.87525e-07     10   10  0
   4.44089e-16     10    9  1
   6.66134e-16     10    8  2
   6.66134e-16     10    7  3
   4.34028e-05     10    6  4
   2.22045e-16     10    5  5
   4.34028e-05     10    4  6
   6.66134e-16     10    3  7
   8.88178e-16     10    2  8
   6.66134e-16     10    1  9
   3.87525e-07     10    0 10

   2.32515e-06     11   11  0
   3.87525e-07     11   10  1
   8.88178e-16     11    9  2
   6.66134e-16     11    8  3
   0.000173611     11    7  4
   0.000130208     11    6  5
   0.000130208     11    5  6
   0.000173611     11    4  7
   6.66134e-16     11    3  8
   4.44089e-16     11    2  9
   3.87525e-07     11    1 10
   2.32515e-06     11    0 11

    7.9927e-06     12   12  0
   2.32515e-06     12   11  1
   3.87525e-07     12   10  2
   8.88178e-16     12    9  3
   0.000406901     12    8  4
   0.000520833     12    7  5
   0.000500217     12    6  6
   0.000520833     12    5  7
   0.000406901     12    4  8
   8.88178e-16     12    3  9
   3.87525e-07     12    2 10
   2.32515e-06     12    1 11
    7.9927e-06     12    0 12

   2.06841e-05     13   13  0
    7.9927e-06     13   12  1
   2.32515e-06     13   11  2
   3.87525e-07     13   10  3
   0.000732422     13    9  4
     0.0012207     13    8  5
    0.00139323     13    7  6
    0.00139323     13    6  7
     0.0012207     13    5  8
   0.000732422     13    4  9
   3.87525e-07     13    3 10
   2.32515e-06     13    2 11
    7.9927e-06     13    1 12
   2.06841e-05     13    0 13

   4.48227e-05     14   14  0
   2.06841e-05     14   13  1
    7.9927e-06     14   12  2
   2.32515e-06     14   11  3
    0.00112197     14   10  4
    0.00219727     14    9  5
     0.0028951     14    8  6
    0.00314236     14    7  7
     0.0028951     14    6  8
    0.00219727     14    5  9
    0.00112197     14    4 10
   2.32515e-06     14    3 11
    7.9927e-06     14    2 12
   2.06841e-05     14    1 13
   4.48227e-05     14    0 14

   8.59578e-05     15   15  0
   4.48227e-05     15   14  1
   2.06841e-05     15   13  2
    7.9927e-06     15   12  3
    0.00153973     15   11  4
    0.00336667     15   10  5
    0.00493774     15    9  6
    0.00588379     15    8  7
    0.00588379     15    7  8
    0.00493774     15    6  9
    0.00336667     15    5 10
    0.00153973     15    4 11
    7.9927e-06     15    3 12
   2.06841e-05     15    2 13
   4.48227e-05     15    1 14
   8.59578e-05     15    0 15

   0.000150768     16   16  0
   8.59578e-05     16   15  1
   4.48227e-05     16   14  2
   2.06841e-05     16   13  3
    0.00194912     16   12  4
    0.00462385     16   11  5
    0.00735671     16   10  6
    0.00949707     16    9  7
     0.0103188     16    8  8
    0.00949707     16    7  9
    0.00735671     16    6 10
    0.00462385     16    5 11
    0.00194912     16    4 12
   2.06841e-05     16    3 13
   4.48227e-05     16    2 14
   8.59578e-05     16    1 15
   0.000150768     16    0 16

   0.000247053     17   17  0
   0.000150768     17   16  1
   8.59578e-05     17   15  2
   4.48227e-05     17   14  3
    0.00231652     17   13  4
    0.00586335     17   12  5
     0.0099488     17   11  6
     0.0137151     17   10  7
     0.0160103     17    9  8
     0.0160103     17    8  9
     0.0137151     17    7 10
     0.0099488     17    6 11
    0.00586335     17    5 12
    0.00231652     17    4 13
   4.48227e-05     17    3 14
   8.59578e-05     17    2 15
   0.000150768     17    1 16
   0.000247053     17    0 17


NINT_EXACTNESS:
  Normal end of execution.

25 December 2009 05:48:57 PM
