28 July 2009 08:05:57 PM

NINT_EXACTNESS_PYRAMID
  C++ version

  Compiled on Jul 28 2009 at 20:04:39.

  Investigate the polynomial exactness of a quadrature
  rule for the pyramid.

NINT_EXACTNESS_PYRAMID: User input:
  Quadrature rule X file = "pyramid_l3x3_j3_x.txt".
  Quadrature rule W file = "pyramid_l3x3_j3_w.txt".
  Maximum total degree to check = 6

  Spatial dimension = 3
  Number of points  = 27

      Error    Degree  Exponents

   1.55431e-15      0   0 0 0

             0      1   1 0 0
   4.91505e-18      1   0 1 0
   5.55112e-17      1   0 0 1

   2.22045e-16      2   2 0 0
             0      2   1 1 0
   2.77556e-16      2   0 2 0
             0      2   1 0 1
   2.89121e-19      2   0 1 1
   1.11022e-16      2   0 0 2

             0      3   3 0 0
             0      3   2 1 0
             0      3   1 2 0
   2.33103e-18      3   0 3 0
   6.93889e-18      3   2 0 1
             0      3   1 1 1
   6.93889e-18      3   0 2 1
             0      3   1 0 2
   8.67362e-19      3   0 1 2
   1.66533e-16      3   0 0 3

   9.71445e-17      4   4 0 0
             0      4   3 1 0
   5.55112e-17      4   2 2 0
             0      4   1 3 0
   9.71445e-17      4   0 4 0
             0      4   3 0 1
             0      4   2 1 1
             0      4   1 2 1
   5.87276e-19      4   0 3 1
   1.26635e-16      4   2 0 2
             0      4   1 1 2
   1.26635e-16      4   0 2 2
             0      4   1 0 3
             0      4   0 1 3
   6.93889e-17      4   0 0 4

             0      5   5 0 0
             0      5   4 1 0
             0      5   3 2 0
             0      5   2 3 0
             0      5   1 4 0
   4.91618e-18      5   0 5 0
   2.25514e-17      5   4 0 1
             0      5   3 1 1
   1.56125e-17      5   2 2 1
             0      5   1 3 1
    1.9082e-17      5   0 4 1
             0      5   3 0 2
             0      5   2 1 2
             0      5   1 2 2
   1.35525e-19      5   0 3 2
    1.9082e-17      5   2 0 3
             0      5   1 1 3
    1.9082e-17      5   0 2 3
             0      5   1 0 4
   7.22801e-20      5   0 1 4
   2.08167e-17      5   0 0 5

     0.0101757      6   6 0 0
             0      6   5 1 0
   9.44822e-06      6   4 2 0
             0      6   3 3 0
   9.44822e-06      6   2 4 0
             0      6   1 5 0
     0.0101757      6   0 6 0
             0      6   5 0 1
             0      6   4 1 1
             0      6   3 2 1
             0      6   2 3 1
             0      6   1 4 1
   2.17405e-19      6   0 5 1
   2.83447e-05      6   4 0 2
             0      6   3 1 2
    1.5747e-05      6   2 2 2
             0      6   1 3 2
   2.83447e-05      6   0 4 2
             0      6   3 0 3
             0      6   2 1 3
             0      6   1 2 3
   3.16226e-20      6   0 3 3
   4.72411e-05      6   2 0 4
             0      6   1 1 4
   4.72411e-05      6   0 2 4
             0      6   1 0 5
   7.22801e-20      6   0 1 5
   0.000141723      6   0 0 6


NINT_EXACTNESS_PYRAMID:
  Normal end of execution.

28 July 2009 08:05:57 PM
