03 September 2012 11:21:43 AM

RANDOM_OPENMP
  C++ version
  An OpenMP program using random numbers.
  The random numbers depend on a seed.
  We need to insure that each OpenMP thread
  starts with a different seed.

  Number of processors available = 8
  Number of threads =              8

  Thread   Seed  I   X(I)

         4     1            123456793        7       123456790     5
     2        3     6
        123456796       123456794   123456791  
   123456792   123456795

     0

     123456789
       0         29017       0        0.442764
       0         41837       1        0.638382
       0         61841       2        0.943619
       0         52997       3         0.80867
       0          6153       4       0.0938873
       0         26077       5        0.397903
       0         29377       6        0.448257
       0         52725       7         0.80452
       0          8121       8        0.123917
       0         15693       9        0.239456
       0         19697      10        0.300552
       0         14821      11        0.226151
       0         47209      12        0.720352
       1         32142      13        0.490448
       1         42598      14        0.649994
       1         15134      15        0.230927
       1         42294      16        0.645355
       1         48174      17        0.735077
       1          7558      18        0.115326
       1         25790      19        0.393524
       1         50006      20        0.763031
       1         30926      21        0.471893
       1         43686      22        0.666595
       1          7262      23        0.110809
       1         18294      24        0.279144
       1         21358      25        0.325897
       2         35267      26        0.538132
       2         43359      27        0.661606
       2         33963      28        0.518234
       2         31591      29         0.48204
       2         24659      30        0.376266
       2         54575      31        0.832748
       2         22203      32        0.338791
       2         47287      33        0.721542
       2         53731      34         0.81987
       2          6143      35       0.0937347
       2         60363      36        0.921066
       2         21767      37        0.332138
       2         61043      38        0.931442
       3         38392      39        0.585815
       3         44120      40        0.673218
       3         52792      41        0.805542
       3         20888      42        0.318726
       3          1144      43       0.0174561
       3         36056      44        0.550171
       3         18616      45        0.284058
       3         44568      46        0.680054
       3         11000      47        0.167847
       3         34136      48        0.520874
       3         47928      49        0.731323
       3         25240      50        0.385132
       3         35192      51        0.536987
       4         41517      52        0.633499
       4         44881      53         0.68483
       4          6085      54       0.0928497
       4         10185      55        0.155411
       4         43165      56        0.658646
       4         17537      57        0.267593
       4         15029      58        0.229324
       4         41849      59        0.638565
       4         33805      60        0.515823
       4         62129      61        0.948013
       4         35493      62         0.54158
       4         28713      63        0.438126
       4          9341      64        0.142532
       5         44642      65        0.681183
       5         45642      66        0.696442
       5         24914      67        0.380157
       5         65018      68        0.992096
       5         19650      69        0.299835
       5         64554      70        0.985016
       5         11442      71        0.174591
       5         39130      72        0.597076
       5         56610      73          0.8638
       5         24586      74        0.375153
       5         23058      75        0.351837
       5         32186      76        0.491119
       5         49026      77        0.748077
       6         47767      78        0.728867
       6         46403      79        0.708054
       6         43743      80        0.667465
       6         54315      81        0.828781
       6         61671      82        0.941025
       6         46035      83        0.702438
       6          7855      84        0.119858
       6         36411      85        0.555588
       6         13879      86        0.211777
       6         52579      87        0.802292
       6         10623      88        0.162094
       6         35659      89        0.544113
       6         23175      90        0.353622
       7         50892      91         0.77655
       7         47164      92        0.719666
       7         62572      93        0.954773
       7         43612      94        0.665466
       7         38156      95        0.582214
       7         27516      96        0.419861
       7          4268      97       0.0651245
       7         33692      98        0.514099
       7         36684      99        0.559753

RANDOM_OPENMP
  Normal end of execution.

03 September 2012 11:21:43 AM
