03 August 2011 02:44:35 PM

SANDIA_RULES2_PRB
  C++ version
  Test the SANDIA_RULES2 library.

TEST185
  JACOBI_POINTS and JACOBI_WEIGHTS compute a Gauss-Jacobi rule
  which is appropriate for integrands of the form
    Integral ( -1 <= x <= +1 ) f(x) (1-x)^alpha (1+x)^beta dx.

  For technical reasons, the parameters ALPHA and BETA are to
  supplied by a function called PARAMETER.

   Order       ALPHA        BETA   ||X1-X2||   ||W1-W2||

       1         0.5         0.5           0           0
       2         0.5         0.5           0           0
       3         0.5         0.5           0           0
       4         0.5         0.5           0           0
       5         0.5         0.5           0           0
       6         0.5         0.5           0           0
       7         0.5         0.5           0           0
       8         0.5         0.5           0           0
       9         0.5         0.5           0           0
      10         0.5         0.5           0           0
       1         0.5           1           0           0
       2         0.5           1           0           0
       3         0.5           1           0           0
       4         0.5           1           0           0
       5         0.5           1           0           0
       6         0.5           1           0           0
       7         0.5           1           0           0
       8         0.5           1           0           0
       9         0.5           1           0           0
      10         0.5           1           0           0
       1         0.5         2.5           0           0
       2         0.5         2.5           0           0
       3         0.5         2.5           0           0
       4         0.5         2.5           0           0
       5         0.5         2.5           0           0
       6         0.5         2.5           0           0
       7         0.5         2.5           0           0
       8         0.5         2.5           0           0
       9         0.5         2.5           0           0
      10         0.5         2.5           0           0
       1           1         0.5           0           0
       2           1         0.5           0           0
       3           1         0.5           0           0
       4           1         0.5           0           0
       5           1         0.5           0           0
       6           1         0.5           0           0
       7           1         0.5           0           0
       8           1         0.5           0           0
       9           1         0.5           0           0
      10           1         0.5           0           0
       1           1           1           0           0
       2           1           1           0           0
       3           1           1           0           0
       4           1           1           0           0
       5           1           1           0           0
       6           1           1           0           0
       7           1           1           0           0
       8           1           1           0           0
       9           1           1           0           0
      10           1           1           0           0
       1           1         2.5           0           0
       2           1         2.5           0           0
       3           1         2.5           0           0
       4           1         2.5           0           0
       5           1         2.5           0           0
       6           1         2.5           0           0
       7           1         2.5           0           0
       8           1         2.5           0           0
       9           1         2.5           0           0
      10           1         2.5           0           0
       1         2.5         0.5           0           0
       2         2.5         0.5           0           0
       3         2.5         0.5           0           0
       4         2.5         0.5           0           0
       5         2.5         0.5           0           0
       6         2.5         0.5           0           0
       7         2.5         0.5           0           0
       8         2.5         0.5           0           0
       9         2.5         0.5           0           0
      10         2.5         0.5           0           0
       1         2.5           1           0           0
       2         2.5           1           0           0
       3         2.5           1           0           0
       4         2.5           1           0           0
       5         2.5           1           0           0
       6         2.5           1           0           0
       7         2.5           1           0           0
       8         2.5           1           0           0
       9         2.5           1           0           0
      10         2.5           1           0           0
       1         2.5         2.5           0           0
       2         2.5         2.5           0           0
       3         2.5         2.5           0           0
       4         2.5         2.5           0           0
       5         2.5         2.5           0           0
       6         2.5         2.5           0           0
       7         2.5         2.5           0           0
       8         2.5         2.5           0           0
       9         2.5         2.5           0           0
      10         2.5         2.5           0           0

SANDIA_RULES2_PRB
  Normal end of execution.

03 August 2011 02:44:35 PM
