
SCHEDULE_OPEN_MP
  C++/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular for two threads.
  Demonstrate default, static and dynamic scheduling.

  Number of processors available = 8
  Number of threads =              2

TEST01

                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time

         1         0      0.00022559      5.5315e-05     6.37663e-05
         2         1     3.64571e-05     0.000127182     0.000102598
         4         2     3.56887e-05     3.40831e-05     3.51309e-05
         8         4      3.4363e-05      3.1638e-05     3.43621e-05
        16         6     3.47812e-05     3.45721e-05     3.44319e-05
        32        11     3.68771e-05     8.93981e-05     3.63872e-05
        64        18     3.70159e-05     3.38037e-05     3.36636e-05
       128        31     4.37913e-05     3.98098e-05     3.68073e-05
       256        54     6.69789e-05     5.72009e-05     5.83883e-05
       512        97     0.000152745      0.00012837     0.000128719
      1024       172     0.000450132     0.000325883     0.000328956
      2048       309      0.00157515      0.00119004      0.00109561
      4096       564      0.00554322      0.00413619      0.00403163
      8192      1028        0.017246       0.0143404       0.0111684
     16384      1900       0.0493773       0.0346128        0.032456
     32768      3512        0.172299        0.181865        0.120092
     65536      6542        0.645983        0.487475        0.448263
    131072     12251         2.43448         1.72831           1.683

SCHEDULE_OPEN_MP
  Normal end of execution.
