
SCHEDULE_OPEN_MP
  C++/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular for two threads.
  Demonstrate default, static and dynamic scheduling.

  Number of processors available = 8
  Number of threads =              2

TEST01

                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time

         1         0     0.000178814     4.05312e-06     7.86781e-06
         2         1     1.09673e-05     4.05312e-06     1.50204e-05
         4         2     4.05312e-06     3.09944e-06     4.05312e-06
         8         4     4.05312e-06     4.05312e-06     4.05312e-06
        16         6     4.05312e-06     3.09944e-06     4.05312e-06
        32        11     5.00679e-06     5.00679e-06     5.00679e-06
        64        18     6.91414e-06     8.10623e-06     7.86781e-06
       128        31     1.40667e-05     1.21593e-05     1.19209e-05
       256        54     3.60012e-05     3.40939e-05     2.71797e-05
       512        97     0.000120878     9.39369e-05     9.48906e-05
      1024       172     0.000414133      0.00029397     0.000294924
      2048       309        0.001472      0.00108504      0.00106406
      4096       564      0.00543809      0.00389385      0.00383091
      8192      1028       0.0197041       0.0125039      0.00864291
     16384      1900         0.04669        0.032361        0.032114
     32768      3512        0.172279        0.118338        0.118221
     65536      6542        0.645984        0.444363        0.441775
    131072     12251         2.43497         1.67038         1.65913

SCHEDULE_OPEN_MP
  Normal end of execution.
