
SCHEDULE_OPEN_MP
  C++/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular for two threads.
  Demonstrate default, static and dynamic scheduling.

  Number of processors available = 2
  Number of threads =              2

TEST01

                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time

         1         0     0.000396967     0.000139952     0.000168085
         2         1     0.000140905     0.000138998     0.000140905
         4         2     0.000137091     0.000137091     0.000138998
         8         4     0.000137091     0.000138044     0.000138998
        16         6     0.000138998     0.000138998     0.000138998
        32        11     0.000139952     0.000142097     0.000138998
        64        18     0.000143051     0.000151157     0.000161886
       128        31      0.00017786     0.000169039     0.000273943
       256        54     0.000261068     0.000218153     0.000221014
       512        97     0.000560045     0.000454903     0.000478029
      1024       172      0.00158501        0.001158      0.00123096
      2048       309      0.00532699       0.0039041      0.00386095
      4096       564        0.026052        0.014622       0.0137031
      8192      1028       0.0698738       0.0510931       0.0488679
     16384      1900         0.26194        0.200836        0.198147
     32768      3512         1.01589        0.758725        0.677505
     65536      6542         3.75865         2.55373         2.51685
    131072     12251         13.8878         10.4694         10.5803

SCHEDULE_OPEN_MP
  Normal end of execution.
