
SCHEDULE_OPEN_MP
  C+/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular for two threads.
  Demonstrate default, static and dynamic scheduling.

  Number of processors available = 16
  Number of threads =              2

TEST01

                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time

         1         0     0.000158072     5.00679e-06     6.91414e-06
         2         1     1.09673e-05     4.05312e-06      1.5974e-05
         4         2     4.05312e-06     3.09944e-06     4.05312e-06
         8         4      3.8147e-06     3.09944e-06     3.09944e-06
        16         6     4.05312e-06     4.05312e-06      3.8147e-06
        32        11     5.00679e-06     4.05312e-06     5.00679e-06
        64        18     7.15256e-06     6.91414e-06     6.91414e-06
       128        31      1.3113e-05     1.21593e-05     1.28746e-05
       256        54     3.60012e-05     2.59876e-05     2.71797e-05
       512        97     0.000119925     9.39369e-05     9.48906e-05
      1024       172     0.000414133     0.000293016     0.000295877
      2048       309      0.00148106        0.001091      0.00105715
      4096       564      0.00546718      0.00390601      0.00384593
      8192      1028       0.0197182       0.0138118         0.01369
     16384      1900       0.0560498       0.0323629        0.032151
     32768      3512         0.17372        0.119175        0.118766
     65536      6542        0.651232        0.454538        0.443612
    131072     12251         2.45516         1.68255         1.66569

SCHEDULE_OPEN_MP
  Normal end of execution.
