28 April 2014 09:09:01 PM

SIMPLE_GA:
  C++ version
  A simple example of a genetic algorithm.

  Generation       Best            Average       Standard 
  number           value           fitness       deviation 

         0         16.7765         11.5974         5.54959
         1         20.3938         15.0932         3.26617
         2         20.3938         15.7136         3.27101
         3         22.9968         15.8411         3.79467
         4         22.9968         16.0317         3.89265
         5         23.1309         16.4335         3.74356
         6         23.1309         17.1512         4.37502
         7         23.1309         17.6587         3.54397
         8         23.1309         17.8424         3.04384
         9         23.2454         17.6555         3.46935
        10         23.2454         18.1669         2.67661
        11         23.2454         16.5083         4.61178
        12         23.5293         18.1784         2.08006
        13          23.591         18.2465         3.43744
        14         25.1257         18.1729         3.42717
        15         25.1257         17.9019         4.08175
        16         25.1257         19.0092           3.717
        17         25.1257         17.9975         5.54822
        18         25.1257         19.1349         4.16883
        19         25.1257         19.3269         3.77869
        20         25.1257         19.6636         3.95128
        21         25.1257         20.7471         2.58133
        22         25.1257         20.5416         2.19611
        23         25.1257         20.3625         3.33655
        24         25.1257         20.8799         3.61268
        25         25.2531         19.6792         3.77212
        26         25.2531         19.9252          4.6314
        27         25.2531         20.4753         5.03764
        28         25.2531         21.4611         3.99345
        29         25.2531         21.1736         4.12963
        30         25.2531         22.5394         2.36972
        31         25.2531         22.1505         2.22521
        32         25.2531         22.0939         2.99797
        33         25.2531         20.0212         5.76034
        34         25.2531         21.6003         4.94078
        35          25.373         21.5217         4.39623
        36          25.373         20.7715         5.85933
        37          25.373         22.2012         3.91166
        38          25.373         22.1854         3.90254
        39          25.373         22.1788          3.8195
        40         25.7751         22.4348         3.55458
        41         25.7751         21.4864         4.59553
        42         25.7751         22.0333         3.15006
        43         25.8548         21.8159         3.95986
        44         25.8548         20.8585           5.358
        45         25.8713         19.7103         6.10893
        46         25.8713          20.747         4.77265
        47         25.8713          22.108         3.30899
        48         25.8906         21.7411          4.6538
        49         25.8906         21.4099         4.30585
        50         25.8906         20.5397         4.96744
        51         25.8906         20.9595         4.42078
        52         25.8906         21.6411         3.17569
        53         25.8906         19.5947          5.6356
        54         25.9137          20.663         4.71006
        55         25.9137         19.5775         5.72088
        56         25.9137         20.9538         4.76931
        57         25.9137         21.7981         4.38642
        58         25.9137         22.6515         3.21032
        59         25.9137         22.1894         3.74084
        60         25.9137         21.5361         4.27395
        61         26.0235         19.7588          5.5908
        62         26.0235         20.5728         5.17581
        63         26.0235           22.44         3.23242
        64         26.0235         21.1991          3.8417
        65         26.0235         20.9193         4.59518
        66         26.0235           20.36         5.44386
        67         26.2588         21.8048         4.81652
        68         26.2588          21.568         4.72513
        69         26.2588         20.8785         5.16277
        70         26.2588         21.0076         5.42166
        71         26.2588         22.1044         4.97237
        72         26.2588         21.9299         5.80623
        73         26.2588         22.0047         4.02626
        74         26.2588         22.4916         4.41906
        75         26.2588         22.9255         3.90843
        76         26.2588         23.5943         4.11156
        77         26.2588         23.2449         3.82687
        78         26.2588         23.4013         2.72481
        79         26.2588         22.1319         4.58737
        80         26.2588         20.2767         5.54332
        81         26.2588         21.5368         4.90875
        82         26.2588         22.0583         4.12204
        83         26.2588         22.3045         3.73651
        84         26.2588         21.9699          4.3957
        85         26.2588         23.0282          3.7407
        86         26.2588         23.7801         2.95753
        87         26.2588         23.6876          3.4087
        88         26.2588         23.9158         3.46397
        89         26.2588         22.9629         5.48002
        90         26.2588         23.4177         4.16435
        91         26.2588         24.0118         3.22671
        92         26.2588         23.2842         4.23879
        93         26.2588         23.1322         4.29446
        94         26.2782         23.8898         2.72814
        95         26.2782          22.137         5.02687
        96         26.2782         22.8725         4.67567
        97         26.2782         22.3634         3.59548
        98         26.2782         21.5519         4.70288
        99         26.2782         20.8858         5.33897
       100         26.2782         21.5622         5.26341
       101         26.2782         21.1798         5.15527
       102         26.2782         22.0002         4.32139
       103         26.2782         20.8991         5.17846
       104         26.2782         22.6868         3.24313
       105         26.2782         21.7286         5.79665
       106         26.4136         21.1474         6.36437
       107         26.4136           21.24         5.15334
       108         26.4136         20.2905         4.89388
       109         26.7707         20.8384         4.99469
       110         26.7707         21.2271         5.00409
       111         26.7707         21.0993         4.27485
       112         26.7707         21.3785          4.9007
       113         26.7707         21.7879         5.57516
       114         26.7707         22.4462          4.6404
       115         26.7707         23.1251         4.53528
       116         26.7707         22.0123         6.07563
       117         26.7707         21.5284         5.43899
       118         26.7707         23.6225         2.53758
       119         26.7785         22.0115         5.25715
       120         26.7785         22.9928         4.74619
       121         26.7785         24.0641         3.68172
       122         26.7785         24.1784         4.02339
       123         26.7785         23.6661         4.09028
       124         26.7785         23.4487         4.84925
       125         26.7785         22.4601         5.70741
       126         26.7785          22.667         5.48199
       127         26.7785         21.5455         5.84542
       128         26.7785         22.9605         3.85665
       129         26.7785         22.4957         4.48827
       130         26.7785         21.9776         5.03283
       131         26.7785         21.8153           5.413
       132         26.7785         22.7374         5.35523
       133         26.7785         22.3773         5.60002
       134         26.7785         23.2948         4.74644
       135         26.7785         24.1858         3.29013
       136         26.7785         23.9214         5.24321
       137         26.7785         22.2306         7.65078
       138         26.7785          23.711         6.22022
       139         26.7785         24.2964         3.96864
       140         26.7785         23.1621         3.96188
       141         26.7785         23.5759         4.01701
       142         26.7785         24.6475         2.31954
       143         26.7785         25.2038         1.86237
       144         26.7785         23.5325         4.85767
       145         26.7785         23.1357           3.406
       146         26.7785         21.7076         5.10256
       147         26.7785         21.1993         6.04557
       148         26.7785         22.1312         5.28233
       149         26.7785         23.2874         3.77401
       150         26.7785         23.7477         3.43222
       151         26.7785         22.3148         5.00215
       152         26.7785         22.8117         3.80326
       153         26.7785         22.8358          3.6219
       154         26.7785          22.667         4.30003
       155         26.7785         22.3391          4.8411
       156         26.7785         21.4854         5.00663
       157         26.7785          21.871          4.2818
       158         26.7785         20.3365         5.43198
       159         26.7785         22.4989         5.07166
       160         26.7785         22.8645         3.24654
       161         26.7785         21.8973         4.36076
       162         26.7785         22.5262         4.20988
       163         26.7785         22.3579         5.04764
       164         26.7785         22.1238         4.84355
       165         26.7785         20.5549         5.94973
       166         26.7785         21.1487         5.56308
       167         26.7785         21.3828         5.16734
       168         26.7785         22.7955         4.52048
       169         26.7785         22.8469         3.73623
       170         26.7785         21.8109         4.29102
       171         26.7785         20.8733          6.0642
       172         26.7785         22.6676         4.68721
       173         26.7785          23.001         3.26805
       174         26.7785         22.3031         4.40546
       175         26.7785         20.5103         6.84533
       176         26.7785         21.9357         4.74484
       177         26.7785         22.3375         5.67722
       178         26.7785         22.9344         4.74243
       179         26.7785          22.239         4.78361
       180         26.7785         21.4626         4.44195
       181         26.7785         21.8244          4.8267
       182         26.7785          21.504         5.04238
       183         26.7785         22.5906         3.75943
       184         26.7785         21.6587         6.10848
       185         26.7785         21.9042         4.60179
       186         26.7785          22.432         4.19122
       187         26.7785         20.5574         5.24232
       188         26.7785         20.8826         5.16572
       189         26.7785         21.5567         5.58654
       190         26.7785         23.0199         3.99126
       191         26.7785         23.5507         3.15871
       192         26.7785          21.365          5.6466
