05 July 2007 05:07:11 AM

NINT_EXACTNESS_TET
  C++ version

  Investigate the polynomial exactness of a quadrature
  rule for the tetrahedron by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit tetrahedron.

NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "keast3_x.txt".
  Quadrature rule W file = "keast3_w.txt".
  Quadrature rule R file = "keast3_r.txt".
  Maximum total degree to check = 5

  Spatial dimension = 3
  Number of points  = 10

      Error    Degree  Exponents

   4.44089e-16      0   0 0 0

   4.44089e-16      1   1 0 0
   2.22045e-16      1   0 1 0
   2.22045e-16      1   0 0 1

   8.88178e-16      2   2 0 0
   8.88178e-16      2   1 1 0
   9.99201e-16      2   0 2 0
   8.88178e-16      2   1 0 1
   8.88178e-16      2   0 1 1
   9.99201e-16      2   0 0 2

   2.88658e-15      3   3 0 0
   1.11022e-15      3   2 1 0
   1.11022e-15      3   1 2 0
   2.66454e-15      3   0 3 0
   1.11022e-15      3   2 0 1
   2.22045e-16      3   1 1 1
   1.11022e-15      3   0 2 1
   1.11022e-15      3   1 0 2
   1.11022e-15      3   0 1 2
   2.66454e-15      3   0 0 3

     0.0534491      4   4 0 0
     0.0712655      4   3 1 0
     0.0671972      4   2 2 0
     0.0712655      4   1 3 0
     0.0534491      4   0 4 0
     0.0712655      4   3 0 1
     0.0397011      4   2 1 1
     0.0397011      4   1 2 1
     0.0712655      4   0 3 1
     0.0671972      4   2 0 2
     0.0397011      4   1 1 2
     0.0671972      4   0 2 2
     0.0712655      4   1 0 3
     0.0712655      4   0 1 3
     0.0534491      4   0 0 4

      0.161216      5   5 0 0
      0.126162      5   4 1 0
     0.0280749      5   3 2 0
     0.0280749      5   2 3 0
      0.126162      5   1 4 0
      0.161216      5   0 5 0
      0.126162      5   4 0 1
     0.0608133      5   3 1 1
      0.184564      5   2 2 1
     0.0608133      5   1 3 1
      0.126162      5   0 4 1
     0.0280749      5   3 0 2
      0.184564      5   2 1 2
      0.184564      5   1 2 2
     0.0280749      5   0 3 2
     0.0280749      5   2 0 3
     0.0608133      5   1 1 3
     0.0280749      5   0 2 3
      0.126162      5   1 0 4
      0.126162      5   0 1 4
      0.161216      5   0 0 5


'NINT_EXACTNESS_TET:
  Normal end of execution.

05 July 2007 05:07:11 AM
