05 July 2007 05:07:23 AM

NINT_EXACTNESS_TET
  C++ version

  Investigate the polynomial exactness of a quadrature
  rule for the tetrahedron by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit tetrahedron.

NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "keast6_x.txt".
  Quadrature rule W file = "keast6_w.txt".
  Quadrature rule R file = "keast6_r.txt".
  Maximum total degree to check = 8

  Spatial dimension = 3
  Number of points  = 15

      Error    Degree  Exponents

   2.22045e-16      0   0 0 0

   2.22045e-16      1   1 0 0
   2.22045e-16      1   0 1 0
   2.22045e-16      1   0 0 1

   2.22045e-16      2   2 0 0
   6.66134e-16      2   1 1 0
   6.66134e-16      2   0 2 0
   6.66134e-16      2   1 0 1
   6.66134e-16      2   0 1 1
   2.22045e-16      2   0 0 2

   6.66134e-16      3   3 0 0
   4.44089e-16      3   2 1 0
   3.33067e-16      3   1 2 0
   6.66134e-16      3   0 3 0
   4.44089e-16      3   2 0 1
   3.33067e-16      3   1 1 1
   4.44089e-16      3   0 2 1
   4.44089e-16      3   1 0 2
   4.44089e-16      3   0 1 2
   4.44089e-16      3   0 0 3

   3.33067e-16      4   4 0 0
   2.22045e-16      4   3 1 0
   2.22045e-16      4   2 2 0
   2.22045e-16      4   1 3 0
   3.33067e-16      4   0 4 0
   2.22045e-16      4   3 0 1
   5.55112e-16      4   2 1 1
   5.55112e-16      4   1 2 1
   2.22045e-16      4   0 3 1
   2.22045e-16      4   2 0 2
   2.22045e-16      4   1 1 2
   2.22045e-16      4   0 2 2
   2.22045e-16      4   1 0 3
   2.22045e-16      4   0 1 3
   3.33067e-16      4   0 0 4

             0      5   5 0 0
   2.22045e-16      5   4 1 0
   3.33067e-16      5   3 2 0
   3.33067e-16      5   2 3 0
   2.22045e-16      5   1 4 0
   2.22045e-16      5   0 5 0
   2.22045e-16      5   4 0 1
   5.55112e-16      5   3 1 1
   2.22045e-16      5   2 2 1
   3.33067e-16      5   1 3 1
   2.22045e-16      5   0 4 1
   5.55112e-16      5   3 0 2
   2.22045e-16      5   2 1 2
   2.22045e-16      5   1 2 2
   3.33067e-16      5   0 3 2
   3.33067e-16      5   2 0 3
   3.33067e-16      5   1 1 3
   3.33067e-16      5   0 2 3
   2.22045e-16      5   1 0 4
   2.22045e-16      5   0 1 4
   2.22045e-16      5   0 0 5

    0.00548514      6   6 0 0
     0.0109703      6   5 1 0
     0.0368226      6   4 2 0
     0.0517191      6   3 3 0
     0.0368226      6   2 4 0
     0.0109703      6   1 5 0
    0.00548514      6   0 6 0
     0.0109703      6   5 0 1
    0.00939685      6   4 1 1
    0.00393357      6   3 2 1
    0.00393357      6   2 3 1
    0.00939685      6   1 4 1
     0.0109703      6   0 5 1
     0.0368226      6   4 0 2
    0.00393357      6   3 1 2
    0.00633741      6   2 2 2
    0.00393357      6   1 3 2
     0.0368226      6   0 4 2
     0.0517191      6   3 0 3
    0.00393357      6   2 1 3
    0.00393357      6   1 2 3
     0.0517191      6   0 3 3
     0.0368226      6   2 0 4
    0.00939685      6   1 1 4
     0.0368226      6   0 2 4
     0.0109703      6   1 0 5
     0.0109703      6   0 1 5
    0.00548514      6   0 0 6

     0.0224078      7   7 0 0
      0.034001      7   6 1 0
     0.0936424      7   5 2 0
     0.0546599      7   4 3 0
     0.0546599      7   3 4 0
     0.0936424      7   2 5 0
      0.034001      7   1 6 0
     0.0224078      7   0 7 0
      0.034001      7   6 0 1
     0.0464909      7   5 1 1
     0.0319966      7   4 2 1
     0.0399559      7   3 3 1
     0.0319966      7   2 4 1
     0.0464909      7   1 5 1
      0.034001      7   0 6 1
     0.0936424      7   5 0 2
     0.0319966      7   4 1 2
   0.000897303      7   3 2 2
   0.000897303      7   2 3 2
     0.0319966      7   1 4 2
     0.0936424      7   0 5 2
     0.0546599      7   4 0 3
     0.0399559      7   3 1 3
   0.000897303      7   2 2 3
     0.0399559      7   1 3 3
