05 July 2007 05:07:54 AM

NINT_EXACTNESS_TET
  C++ version

  Investigate the polynomial exactness of a quadrature
  rule for the tetrahedron by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit tetrahedron.

NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "ncc5_x.txt".
  Quadrature rule W file = "ncc5_w.txt".
  Quadrature rule R file = "ncc5_r.txt".
  Maximum total degree to check = 8

  Spatial dimension = 3
  Number of points  = 56

      Error    Degree  Exponents

   6.66134e-16      0   0 0 0

             0      1   1 0 0
   2.22045e-16      1   0 1 0
   2.22045e-16      1   0 0 1

   2.22045e-16      2   2 0 0
             0      2   1 1 0
             0      2   0 2 0
             0      2   1 0 1
   2.22045e-16      2   0 1 1
             0      2   0 0 2

   9.99201e-16      3   3 0 0
   1.11022e-16      3   2 1 0
   2.22045e-16      3   1 2 0
   1.22125e-15      3   0 3 0
   1.11022e-16      3   2 0 1
   1.11022e-16      3   1 1 1
   1.11022e-16      3   0 2 1
   2.22045e-16      3   1 0 2
   2.22045e-16      3   0 1 2
   1.22125e-15      3   0 0 3

   1.66533e-15      4   4 0 0
   2.22045e-16      4   3 1 0
   4.44089e-16      4   2 2 0
             0      4   1 3 0
   1.22125e-15      4   0 4 0
   2.22045e-16      4   3 0 1
             0      4   2 1 1
   2.22045e-16      4   1 2 1
   2.22045e-16      4   0 3 1
   4.44089e-16      4   2 0 2
   2.22045e-16      4   1 1 2
   4.44089e-16      4   0 2 2
   2.22045e-16      4   1 0 3
   2.22045e-16      4   0 1 3
   1.22125e-15      4   0 0 4

   2.88658e-15      5   5 0 0
   2.22045e-16      5   4 1 0
   8.88178e-16      5   3 2 0
   1.33227e-15      5   2 3 0
   3.33067e-16      5   1 4 0
   2.77556e-15      5   0 5 0
   2.22045e-16      5   4 0 1
   2.22045e-16      5   3 1 1
   2.22045e-16      5   2 2 1
   4.44089e-16      5   1 3 1
   3.33067e-16      5   0 4 1
   8.88178e-16      5   3 0 2
   2.22045e-16      5   2 1 2
             0      5   1 2 2
   1.33227e-15      5   0 3 2
   1.33227e-15      5   2 0 3
   4.44089e-16      5   1 1 3
   1.11022e-15      5   0 2 3
   3.33067e-16      5   1 0 4
   3.33067e-16      5   0 1 4
   2.66454e-15      5   0 0 5

       0.02384      6   6 0 0
       0.04768      6   5 1 0
        0.0512      6   4 2 0
        0.0496      6   3 3 0
        0.0512      6   2 4 0
       0.04768      6   1 5 0
       0.02384      6   0 6 0
       0.04768      6   5 0 1
         0.068      6   4 1 1
         0.028      6   3 2 1
         0.028      6   2 3 1
         0.068      6   1 4 1
       0.04768      6   0 5 1
        0.0512      6   4 0 2
         0.028      6   3 1 2
         0.044      6   2 2 2
         0.028      6   1 3 2
        0.0512      6   0 4 2
        0.0496      6   3 0 3
         0.028      6   2 1 3
         0.028      6   1 2 3
        0.0496      6   0 3 3
        0.0512      6   2 0 4
         0.068      6   1 1 4
        0.0512      6   0 2 4
       0.04768      6   1 0 5
       0.04768      6   0 1 5
       0.02384      6   0 0 6

         0.104      7   7 0 0
        0.1632      7   6 1 0
         0.092      7   5 2 0
          0.02      7   4 3 0
          0.02      7   3 4 0
         0.092      7   2 5 0
        0.1632      7   1 6 0
         0.104      7   0 7 0
        0.1632      7   6 0 1
        0.1592      7   5 1 1
         0.056      7   4 2 1
         0.168      7   3 3 1
         0.056      7   2 4 1
        0.1592      7   1 5 1
        0.1632      7   0 6 1
         0.092      7   5 0 2
         0.056      7   4 1 2
          0.02      7   3 2 2
          0.02      7   2 3 2
         0.056      7   1 4 2
         0.092      7   0 5 2
          0.02      7   4 0 3
         0.168      7   3 1 3
          0.02      7   2 2 3
         0.168      7   1 3 3
          0.02      7   0 4 3
          0.02      7   3 0 4
         0.056      7   2 1 4
         0.056      7   1 2 4
          0.02      7   0 3 4
         0.092      7   2 0 5
        0.1592      7   1 1 5
         0.092      7   0 2 5
        0.1632      7   1 0 6
        0.1632      7   0 1 6
         0.104      7   0 0 7

       0.26984      8   8 0 0
       0.33824      8   7 1 0
       0.06304      8   6 2 0
       0.05952      8   5 3 0
         0.032      8   4 4 0
       0.05952      8   3 5 0
       0.06304      8   2 6 0
       0.33824      8   1 7 0
       0.26984      8   0 8 0
       0.33824      8   7 0 1
        0.2232      8   6 1 1
        0.2276      8   5 2 1
        0.1948      8   4 3 1
        0.1948      8   3 4 1
        0.2276      8   2 5 1
        0.2232      8   1 6 1
       0.33824      8   0 7 1
       0.06304      8   6 0 2
        0.2276      8   5 1 2
        0.1352      8   4 2 2
        0.0848      8   3 3 2
        0.1352      8   2 4 2
        0.2276      8   1 5 2
       0.06304      8   0 6 2
       0.05952      8   5 0 3
        0.1948      8   4 1 3
        0.0848      8   3 2 3
        0.0848      8   2 3 3
        0.1948      8   1 4 3
       0.05952      8   0 5 3
         0.032      8   4 0 4
        0.1948      8   3 1 4
        0.1352      8   2 2 4
        0.1948      8   1 3 4
         0.032      8   0 4 4
       0.05952      8   3 0 5
        0.2276      8   2 1 5
        0.2276      8   1 2 5
       0.05952      8   0 3 5
       0.06304      8   2 0 6
        0.2232      8   1 1 6
       0.06304      8   0 2 6
       0.33824      8   1 0 7
       0.33824      8   0 1 7
       0.26984      8   0 0 8


'NINT_EXACTNESS_TET:
  Normal end of execution.

05 July 2007 05:07:54 AM
