05 July 2007 05:08:15 AM

NINT_EXACTNESS_TET
  C++ version

  Investigate the polynomial exactness of a quadrature
  rule for the tetrahedron by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit tetrahedron.

NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "nco5_x.txt".
  Quadrature rule W file = "nco5_w.txt".
  Quadrature rule R file = "nco5_r.txt".
  Maximum total degree to check = 8

  Spatial dimension = 3
  Number of points  = 56

      Error    Degree  Exponents

   2.22045e-16      0   0 0 0

   8.88178e-16      1   1 0 0
   4.44089e-16      1   0 1 0
   1.33227e-15      1   0 0 1

             0      2   2 0 0
   4.44089e-16      2   1 1 0
   2.22045e-16      2   0 2 0
   4.44089e-16      2   1 0 1
   2.22045e-16      2   0 1 1
   4.44089e-16      2   0 0 2

   1.88738e-15      3   3 0 0
   7.77156e-16      3   2 1 0
   8.88178e-16      3   1 2 0
   9.99201e-16      3   0 3 0
   8.88178e-16      3   2 0 1
   4.44089e-16      3   1 1 1
   8.88178e-16      3   0 2 1
   8.88178e-16      3   1 0 2
   7.77156e-16      3   0 1 2
   6.66134e-16      3   0 0 3

   1.22125e-15      4   4 0 0
   5.55112e-16      4   3 1 0
   2.22045e-16      4   2 2 0
   3.33067e-16      4   1 3 0
   1.11022e-15      4   0 4 0
   5.55112e-16      4   3 0 1
   4.44089e-16      4   2 1 1
   5.55112e-16      4   1 2 1
   3.33067e-16      4   0 3 1
   2.22045e-16      4   2 0 2
             0      4   1 1 2
   4.44089e-16      4   0 2 2
   2.22045e-16      4   1 0 3
   2.22045e-16      4   0 1 3
   8.88178e-16      4   0 0 4

   2.22045e-16      5   5 0 0
   5.55112e-16      5   4 1 0
   5.55112e-16      5   3 2 0
   8.88178e-16      5   2 3 0
   2.22045e-16      5   1 4 0
   2.22045e-16      5   0 5 0
   7.77156e-16      5   4 0 1
   4.44089e-16      5   3 1 1
   2.22045e-16      5   2 2 1
   4.44089e-16      5   1 3 1
   3.33067e-16      5   0 4 1
   5.55112e-16      5   3 0 2
   5.55112e-16      5   2 1 2
   2.22045e-16      5   1 2 2
   7.77156e-16      5   0 3 2
   8.88178e-16      5   2 0 3
   3.33067e-16      5   1 1 3
   2.22045e-16      5   0 2 3
   5.55112e-16      5   1 0 4
   5.55112e-16      5   0 1 4
   2.22045e-16      5   0 0 5

     0.0162729      6   6 0 0
     0.0325459      6   5 1 0
     0.0632017      6   4 2 0
     0.0701621      6   3 3 0
     0.0632017      6   2 4 0
     0.0325459      6   1 5 0
     0.0162729      6   0 6 0
     0.0325459      6   5 0 1
     0.0181629      6   4 1 1
     0.0211604      6   3 2 1
     0.0211604      6   2 3 1
     0.0181629      6   1 4 1
     0.0325459      6   0 5 1
     0.0632017      6   4 0 2
     0.0211604      6   3 1 2
     0.0664787      6   2 2 2
     0.0211604      6   1 3 2
     0.0632017      6   0 4 2
     0.0701621      6   3 0 3
     0.0211604      6   2 1 3
     0.0211604      6   1 2 3
     0.0701621      6   0 3 3
     0.0632017      6   2 0 4
     0.0181629      6   1 1 4
     0.0632017      6   0 2 4
     0.0325459      6   1 0 5
     0.0325459      6   0 1 5
     0.0162729      6   0 0 6

      0.061051      7   7 0 0
     0.0882092      7   6 1 0
      0.129923      7   5 2 0
      0.043526      7   4 3 0
      0.043526      7   3 4 0
      0.129923      7   2 5 0
     0.0882092      7   1 6 0
      0.061051      7   0 7 0
     0.0882092      7   6 0 1
     0.0280247      7   5 1 1
     0.0564898      7   4 2 1
      0.176706      7   3 3 1
     0.0564898      7   2 4 1
     0.0280247      7   1 5 1
     0.0882092      7   0 6 1
      0.129923      7   5 0 2
     0.0564898      7   4 1 2
     0.0682174      7   3 2 2
     0.0682174      7   2 3 2
     0.0564898      7   1 4 2
      0.129923      7   0 5 2
      0.043526      7   4 0 3
      0.176706      7   3 1 3
     0.0682174      7   2 2 3
      0.176706      7   1 3 3
      0.043526      7   0 4 3
