15 January 2014 07:58:54 PM

TETRAHEDRON_INTEGRALS_PRB
  C++ version
  Test the TETRAHEDRON_INTEGRALS library.

TEST01
  Estimate monomial integrals using Monte Carlo
  over the interior of the unit tetrahedron in 3D.

  Number of sample points used is 4192

  Ex  Ey  Ez     MC-Estimate      Exact           Error

   0   0   0        0.166667        0.166667           0
   0   0   1       0.0413718       0.0416667  0.000294833
   0   0   2       0.0165098       0.0166667  0.000156858
   0   0   3      0.00828332      0.00833333  5.00154e-05
   0   1   0       0.0416317       0.0416667  3.49308e-05
   0   1   1      0.00827531      0.00833333  5.80222e-05
   0   1   2      0.00273194      0.00277778  4.58345e-05
   0   1   3      0.00116758      0.00119048  2.28991e-05
   0   2   0       0.0165018       0.0166667  0.000164895
   0   2   1      0.00276951      0.00277778  8.26536e-06
   0   2   2     0.000784884     0.000793651  8.76672e-06
   0   2   3     0.000292169     0.000297619  5.45039e-06
   0   3   0      0.00811291      0.00833333  0.000220419
   0   3   1      0.00118868      0.00119048  1.79743e-06
   0   3   2     0.000297023     0.000297619  5.95991e-07
   0   3   3     9.81799e-05     9.92063e-05  1.02642e-06
   1   0   0       0.0416734       0.0416667  6.69717e-06
   1   0   1      0.00817139      0.00833333  0.000161946
   1   0   2      0.00268252      0.00277778  9.52574e-05
   1   0   3      0.00114358      0.00119048  4.68939e-05
   1   1   0      0.00838004      0.00833333  4.67074e-05
   1   1   1      0.00137025      0.00138889  1.86414e-05
   1   1   2      0.00038193     0.000396825  1.48955e-05
   1   1   3     0.000140955      0.00014881  7.8542e-06
   1   2   0      0.00278426      0.00277778  6.48089e-06
   1   2   1     0.000393528     0.000396825  3.29724e-06
   1   2   2     9.62722e-05     9.92063e-05  2.93412e-06
   1   2   3     3.15096e-05     3.30688e-05  1.55922e-06
   1   3   0      0.00118823      0.00119048  2.24457e-06
   1   3   1     0.000148482      0.00014881  3.27974e-07
   1   3   2     3.25608e-05     3.30688e-05  5.07993e-07
   1   3   3     9.60372e-06     9.92063e-06  3.16917e-07
   2   0   0       0.0168692       0.0166667  0.000202532
   2   0   1      0.00272847      0.00277778   4.931e-05
   2   0   2      0.00075755     0.000793651  3.6101e-05
   2   0   3     0.000280062     0.000297619  1.75567e-05
   2   1   0      0.00283389      0.00277778  5.61122e-05
   2   1   1     0.000395751     0.000396825  1.07397e-06
   2   1   2     9.54467e-05     9.92063e-05  3.75968e-06
   2   1   3     3.09608e-05     3.30688e-05  2.10795e-06
   2   2   0     0.000803078     0.000793651  9.42736e-06
   2   2   1      9.8966e-05     9.92063e-05  2.4036e-07
   2   2   2     2.12827e-05     2.20459e-05  7.63199e-07
   2   2   3     6.19862e-06     6.61376e-06  4.15134e-07
   2   3   0     0.000299022     0.000297619  1.40296e-06
   2   3   1     3.30027e-05     3.30688e-05  6.60431e-08
   2   3   2     6.43774e-06     6.61376e-06  1.76012e-07
   2   3   3     1.70702e-06     1.80375e-06  9.6731e-08
   3   0   0      0.00855041      0.00833333  0.000217079
   3   0   1       0.0011797      0.00119048  1.07774e-05
   3   0   2     0.000283257     0.000297619  1.43624e-05
   3   0   3     9.21137e-05     9.92063e-05  7.09266e-06
   3   1   0      0.00123659      0.00119048  4.6109e-05
   3   1   1      0.00015128      0.00014881  2.47025e-06
   3   1   2     3.22126e-05     3.30688e-05  8.56142e-07
   3   1   3     9.32737e-06     9.92063e-06  5.93268e-07
   3   2   0     0.000305507     0.000297619  7.88785e-06
   3   2   1     3.36147e-05     3.30688e-05  5.45909e-07
   3   2   2     6.46534e-06     6.61376e-06  1.48415e-07
   3   2   3     1.69869e-06     1.80375e-06  1.05061e-07
   3   3   0     0.000100207     9.92063e-05  1.00052e-06
   3   3   1     1.00213e-05     9.92063e-06  1.00625e-07
   3   3   2     1.76656e-06     1.80375e-06  3.7187e-08
   3   3   3     4.26312e-07     4.50938e-07  2.46257e-08

TETRAHEDRON_INTEGRALS_PRB
  Normal end of execution.

15 January 2014 07:58:54 PM
