04 July 2007 10:49:16 AM

NINT_EXACTNESS_TRI
  C++ version

  Investigate the polynomial exactness of a quadrature
  rule for the triangle by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit triangle.

NINT_EXACTNESS_TRI: User input:
  Quadrature rule X file = "gauss8x8_x.txt".
  Quadrature rule W file = "gauss8x8_w.txt".
  Quadrature rule R file = "gauss8x8_r.txt".
  Maximum total degree to check = 16

  Spatial dimension = 2
  Number of points  = 64

      Error    Degree  Exponents

   2.22045e-16      0   0 0

   8.72158e-12      1   1 0
   4.36096e-12      1   0 1

   1.94947e-11      2   2 0
    2.0508e-12      2   1 1
   5.13101e-12      2   0 2

   2.50029e-11      3   3 0
   1.12315e-11      3   2 1
   1.09064e-11      3   1 2
   3.68683e-12      3   0 3

   2.71954e-11      4   4 0
   2.06192e-11      4   3 1
   1.84341e-12      4   2 2
   1.72813e-11      4   1 3
   9.68337e-13      4   0 4

   2.87436e-11      5   5 0
   2.33236e-11      5   4 1
   1.70134e-11      5   3 2
   9.53393e-12      5   2 3
   2.03804e-11      5   1 4
   2.26741e-12      5   0 5

    3.1782e-11      6   6 0
   1.96252e-11      6   5 1
   2.94873e-11      6   4 2
   4.53992e-12      6   3 3
   1.79778e-11      6   2 4
   2.11808e-11      6   1 5
   5.61651e-12      6   0 6

   3.75856e-11      7   7 0
   1.14745e-11      7   6 1
   3.59266e-11      7   5 2
   2.14381e-11      7   4 3
    8.9786e-12      7   3 4
   2.24778e-11      7   2 5
   2.08105e-11      7   1 6
    8.9202e-12      7   0 7

   4.67112e-11      8   8 0
   1.08302e-12      8   7 1
   3.57202e-11      8   6 2
   3.62369e-11      8   5 3
   6.63836e-12      8   4 4
   1.93903e-11      8   3 5
    2.3801e-11      8   2 6
   2.00626e-11      8   1 7
   1.21403e-11      8   0 8

   5.92392e-11      9   9 0
   9.66849e-12      9   8 1
   2.97519e-11      9   7 2
   4.61643e-11      9   6 3
   2.43237e-11      9   5 4
    8.0993e-12      9   4 5
    2.5842e-11      9   3 6
   2.30356e-11      9   2 7
   1.94025e-11      9   1 8
   1.52948e-11      9   0 9

     7.496e-11     10  10 0
    1.9361e-11     10   9 1
   1.94097e-11     10   8 2
   5.04372e-11     10   7 3
   4.01831e-11     10   6 4
   8.46401e-12     10   5 5
   1.99309e-11     10   4 6
   2.87974e-11     10   3 7
   2.11149e-11     10   2 8
   1.90596e-11     10   1 9
   1.84178e-11     10   010

   9.34991e-11     11  11 0
    2.7006e-11     11  10 1
   6.12066e-12     11   9 2
   4.93111e-11     11   8 3
   5.22373e-11     11   7 4
   2.61204e-11     11   6 5
   6.66978e-12     11   5 6
   2.82192e-11     11   4 7
    2.9055e-11     11   3 8
   1.87328e-11     11   2 9
   1.91194e-11     11   110
   2.15454e-11     11   011

    1.1441e-10     12  12 0
   3.19651e-11     12  11 1
    8.8225e-12     12  10 2
   4.34778e-11     12   9 3
    5.9811e-11     12   8 4
   4.21397e-11     12   7 5
   1.01007e-11     12   6 6
   1.92473e-11     12   5 7
   3.32028e-11     12   4 8
   2.73956e-11     12   3 9
   1.63702e-11     12   210
   1.95775e-11     12   111
    2.4709e-11     12   012

   1.37223e-10     13  13 0
   3.38773e-11     13  12 1
   2.43139e-11     13  11 2
   3.37803e-11     13  10 3
   6.28728e-11     13   9 4
   5.52178e-11     13   8 5
   2.71929e-11     13   7 6
   4.85612e-12     13   6 7
   2.88423e-11     13   5 8
   3.53835e-11     13   4 9
   2.44911e-11     13   310
   1.43394e-11     13   211
   2.03833e-11     13   112
   2.79293e-11     13   013

   1.61482e-10     14  14 0
   3.25922e-11     14  13 1
   3.94513e-11     14  12 2
   2.10956e-11     14  11 3
   6.16869e-11     14  10 4
   6.48481e-11     14   9 5
   4.28355e-11     14   8 6
   1.15498e-11     14   7 7
   1.76152e-11     14   6 8
   3.55789e-11     14   5 9
   3.52944e-11     14   410
     2.089e-11     14   311
   1.28277e-11     14   212
   2.14633e-11     14   113
   3.12221e-11     14   014

   1.86761e-10     15  15 0
   2.81066e-11     15  14 1
   5.35196e-11     15  13 2
   6.27276e-12     15  12 3
   5.66703e-11     15  11 4
   7.08852e-11     15  10 5
   5.62248e-11     15   9 6
   2.77742e-11     15   8 7
   2.87192e-12     15   7 8
   2.79354e-11     15   6 9
   3.97473e-11     15   510
    3.3439e-11     15   411
   1.70288e-11     15   312
    1.1928e-11     15   213
   2.27343e-11     15   114
   3.45943e-11     15   015

   2.89786e-08     16  16 0
   2.30148e-07     16  15 1
   1.15057e-06     16  14 2
   4.02725e-06     16  13 3
   1.04709e-05     16  12 4
   2.09416e-05     16  11 5
   3.29083e-05     16  10 6
   4.11353e-05     16   9 7
   4.11353e-05     16   8 8
   3.29083e-05     16   7 9
   2.09416e-05     16   610
   1.04709e-05     16   511
   4.02721e-06     16   412
   1.15065e-06     16   313
   2.30116e-07     16   214
   2.87901e-08     16   115
   7.76747e-09     16   016


'NINT_EXACTNESS_TRI:
  Normal end of execution.

04 July 2007 10:49:16 AM
