04 July 2007 10:50:32 AM

NINT_EXACTNESS_TRI
  C++ version

  Investigate the polynomial exactness of a quadrature
  rule for the triangle by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit triangle.

NINT_EXACTNESS_TRI: User input:
  Quadrature rule X file = "toms584_19_x.txt".
  Quadrature rule W file = "toms584_19_w.txt".
  Quadrature rule R file = "toms584_19_r.txt".
  Maximum total degree to check = 9

  Spatial dimension = 2
  Number of points  = 19

      Error    Degree  Exponents

   3.33067e-16      0   0 0

   2.22045e-16      1   1 0
             0      1   0 1

   2.22045e-16      2   2 0
             0      2   1 1
             0      2   0 2

   2.22045e-16      3   3 0
   2.22045e-16      3   2 1
             0      3   1 2
   1.11022e-16      3   0 3

             0      4   4 0
   2.22045e-16      4   3 1
   1.11022e-16      4   2 2
             0      4   1 3
   2.22045e-16      4   0 4

   4.44089e-16      5   5 0
   3.33067e-16      5   4 1
   2.22045e-16      5   3 2
   2.22045e-16      5   2 3
   3.33067e-16      5   1 4
   2.22045e-16      5   0 5

   6.66134e-16      6   6 0
   3.33067e-16      6   5 1
   2.22045e-16      6   4 2
             0      6   3 3
   3.33067e-16      6   2 4
   3.33067e-16      6   1 5
   4.44089e-16      6   0 6

   1.11022e-15      7   7 0
   6.66134e-16      7   6 1
   3.33067e-16      7   5 2
   2.22045e-16      7   4 3
   2.22045e-16      7   3 4
   3.33067e-16      7   2 5
   6.66134e-16      7   1 6
   1.11022e-15      7   0 7

   1.33227e-15      8   8 0
   6.66134e-16      8   7 1
   6.66134e-16      8   6 2
   2.22045e-16      8   5 3
   4.44089e-16      8   4 4
   2.22045e-16      8   3 5
   6.66134e-16      8   2 6
   6.66134e-16      8   1 7
   1.33227e-15      8   0 8

   9.14859e-05      9   9 0
   0.000411687      9   8 1
   0.000729094      9   7 2
   0.000630624      9   6 3
   0.000175988      9   5 4
   0.000175988      9   4 5
   0.000630624      9   3 6
   0.000729094      9   2 7
   0.000411687      9   1 8
   9.14859e-05      9   0 9


'NINT_EXACTNESS_TRI:
  Normal end of execution.

04 July 2007 10:50:32 AM
